City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,ordubad,38.9059,46.0234,30.24,36,83,2.09,AZ,1689079959
149,bayevo,53.2833,80.7667,27.96,54,88,1.37,RU,1689079960
150,touros,-5.1989,-35.4608,28.34,63,14,6.83,BR,1689079960
151,ancud,-41.8697,-73.8203,3.47,86,94,2.83,CL,1689079961
152,rawson,-43.3002,-65.1023,2.67,64,9,1.2,AR,1689079962
153,moyynkum,44.2914,72.9469,35.12,17,0,8.99,KZ,1689079962
154,wau,7.7029,27.9953,34.28,36,100,1.42,SS,1689079963
155,ivankiv,50.9386,29.8943,22.67,36,51,3.49,UA,1689079963
156,broome,42.2506,-75.833,22.27,77,0,1.54,US,1689079964
157,rongelap,11.1635,166.8941,28.08,80,10,6.2,MH,1689079964
158,ulsan,35.5372,129.3167,24.8,88,100,3.55,KR,1689079550
159,san agustin,20.5333,-103.4667,17.36,91,37,0.64,MX,1689079702
160,nar'yan-mar,67.6713,53.087,13.86,55,5,4.78,RU,1689079967
161,adrar,20.5022,-10.0711,38.32,21,13,1.0,MR,1689079969
162,invercargill,-46.4,168.35,5.2,93,4,3.96,NZ,1689079804
163,nova vicosa,-17.8919,-39.3719,25.76,66,0,2.58,BR,1689079970
164,cabo san lucas,22.8909,-109.9124,25.9,75,74,2.2,MX,1689079971
165,vangaindrano,-23.35,47.6,24.06,78,52,2.86,MG,1689079971
166,carnarvon,-24.8667,113.6333,18.21,64,0,6.26,AU,1689079831
167,arkhara,49.4212,130.0842,19.48,71,0,2.07,RU,1689079972
168,itacoatiara,-3.1431,-58.4442,29.07,63,1,2.79,BR,1689079972
169,wahpeton,46.2652,-96.6059,14.4,76,0,3.6,US,1689079973
170,kingston,17.997,-76.7936,29.58,73,20,2.06,JM,1689079777
171,labrador city,52.9463,-66.9114,19.95,73,75,5.66,CA,1689079974
172,nishinoomote,30.7333,131.0,26.87,88,75,4.79,JP,1689079974
173,guadalupe y calvo,26.1,-106.9667,13.08,82,9,2.33,MX,1689079975
174,saint-joseph,-21.3667,55.6167,24.21,74,44,0.54,RE,1689079977
175,port augusta,-32.5,137.7667,10.83,63,0,2.29,AU,1689079977
176,bahia de kino,28.8333,-111.9333,28.84,72,97,2.94,MX,1689079978
177,wegscheid,48.6014,13.7873,31.54,45,1,3.13,DE,1689079978
178,gadzhiyevo,69.2551,33.3362,22.81,40,22,2.94,RU,1689079979
179,port blair,11.6667,92.75,27.02,78,75,5.14,IN,1689079979
180,lerwick,60.1545,-1.1494,15.0,94,100,7.31,GB,1689079980
181,segou,13.4317,-6.2157,34.06,39,99,3.22,ML,1689079719
182,skaelskor,55.2506,11.2935,22.48,62,100,6.94,DK,1689079980
183,yoko,5.5333,12.3167,25.95,68,62,1.35,CM,1689079981
184,mikhaylovsk,45.1283,42.0256,19.12,68,40,10.0,RU,1689079981
185,palmer,42.1584,-72.3287,23.68,69,40,4.12,US,1689079751
186,kedougou,12.5579,-12.1743,27.32,74,40,1.03,SN,1689079860
187,hithadhoo,-0.6,73.0833,27.76,70,23,1.86,MV,1689079984
188,lazaro cardenas,17.9583,-102.2,24.57,86,100,2.83,MX,1689079985
189,sola,-13.8833,167.55,24.92,72,100,10.23,VU,1689079985
190,anloga,5.7947,0.8973,26.94,76,84,6.72,GH,1689079986
191,el granada,37.5027,-122.4694,14.38,93,100,2.57,US,1689079986
192,bemidji,47.4736,-94.8803,11.62,89,0,2.57,US,1689079987
193,la foa,-21.7108,165.8276,18.07,69,11,2.26,NC,1689079987
194,mulanje,-16.0316,35.5,18.16,59,90,5.08,MW,1689079723
195,callao,-12.0667,-77.15,21.16,73,100,3.6,PE,1689079988
196,pemangkat,1.1667,108.9667,26.36,84,81,3.71,ID,1689079989
197,chifeng,42.2683,118.9636,24.41,55,100,3.79,CN,1689079989
198,ellsworth,44.5434,-68.4195,18.49,98,100,0.0,US,1689079990
199,tyumen,57.1522,65.5272,35.19,36,0,4.0,RU,1689079990
200,rosso,16.4986,-15.8153,33.93,45,96,7.66,SN,1689079991
201,souillac,-20.5167,57.5167,26.21,57,40,3.09,MU,1689079992
202,balabac,7.9868,117.0645,27.79,78,100,4.25,PH,1689079992
203,codrington,-38.2667,141.9667,9.78,95,24,4.73,AU,1689079994
204,bayanhongor,46.7167,100.1167,16.96,43,100,1.66,MN,1689079750
205,ugoofaaru,5.6667,73.0,28.04,76,49,5.43,MV,1689079996
206,hasaki,35.7333,140.8333,27.9,88,0,3.86,JP,1689079997
207,crookston,47.7741,-96.6081,13.27,82,0,0.0,US,1689079999
208,turpan,42.9333,89.1667,35.73,12,90,9.17,CN,1689079723
209,pisco,-13.7,-76.2167,19.03,77,100,2.57,PE,1689080000
210,vadso,70.0744,29.7487,27.49,59,0,4.63,NO,1689080000
211,hizan,38.2257,42.4278,25.97,28,9,5.23,TR,1689080001
212,hawaiian paradise park,19.5933,-154.9731,21.61,98,98,1.44,US,1689080001
213,pitkyaranta,61.5734,31.4792,18.45,45,3,2.05,RU,1689080002
214,mohr,54.3528,9.7167,28.97,45,75,7.2,DE,1689080002
215,whitehorse,60.7161,-135.0538,12.67,62,100,3.6,CA,1689080003
216,shengli,37.4564,118.4856,29.77,55,2,4.41,CN,1689080003
217,lysekil,58.2743,11.4358,20.57,80,100,6.98,SE,1689080004
218,tinajo,29.0788,-13.7081,30.49,45,0,8.23,ES,1689080004
219,jaisinghnagar,23.7,81.3833,28.21,80,46,2.32,IN,1689080005
220,quellon,-43.1167,-73.6167,-1.86,100,10,0.0,CL,1689080005
221,yakeshi,49.2833,120.7333,16.62,65,98,0.84,CN,1689080006
222,karratha,-20.7377,116.8463,20.41,39,3,0.89,AU,1689080006
223,sitka,57.0531,-135.33,11.94,76,100,4.12,US,1689080006
224,nuuk,64.1835,-51.7216,7.71,100,100,8.49,GL,1689080007
225,yamada,39.4667,141.95,23.27,77,100,2.84,JP,1689079844
226,cockburn town,21.4612,-71.1419,28.71,78,7,7.34,TC,1689079848
227,mount hagen,-5.8581,144.2274,15.4,97,69,0.37,PG,1689080010
228,saltillo,25.4167,-101.0,19.68,56,0,0.0,MX,1689080010
229,stephenville,32.2207,-98.2023,29.93,63,0,3.09,US,1689080011
230,junin de los andes,-39.9504,-71.0694,2.08,92,100,1.48,AR,1689080012
231,anna regina,7.2644,-58.5077,27.41,85,4,5.02,GY,1689079747
232,san antonio de pale,-1.4014,5.6325,23.02,82,4,5.15,GQ,1689080013
233,gulf shores,30.246,-87.7008,26.99,82,75,0.0,US,1689080013
234,tsiombe,-25.3,45.4833,22.54,63,81,7.72,MG,1689080014
235,weno,7.4515,151.8468,28.63,76,94,4.31,FM,1689080014
236,cidade velha,14.9167,-23.6167,29.26,58,20,5.14,CV,1689080015
237,bredasdorp,-34.5322,20.0403,14.73,53,4,2.6,ZA,1689080015
238,regina,50.4501,-104.6178,11.13,74,75,6.17,CA,1689080016
239,gelibolu,40.4103,26.6708,30.12,26,45,5.41,TR,1689080016
